Date,World Equities,US Treasuries,High Yield ,Inflation Protection,Currency Protection,Regime-5,Regime-7,US Equities,Real Estate,Commodities,Corp Bonds
Jan-85,0.028511,0.0315,0.037908,-0.016265,0.030292,1,1,0.081301,0.056605,0.021351,0.048963
Feb-85,-0.009204,-0.044692,0.012689,0.006362,0.010258,1,1,0.030075,0.016448,-0.015217,-0.042029
Mar-85,0.075134,0.028719,0.004323,-0.002848,-0.020739,1,1,-0.007299,-0.006716,0.037171,0.032666
Apr-85,-0.002459,0.023084,0.018215,0.003089,0.008187,1,1,-0.012255,0.000906,-0.035116,0.037125
May-85,0.040245,0.08678,0.042363,0.004077,-0.002219,1,1,0.064516,0.027241,0.004351,0.104199
Jun-85,0.022419,0.014284,0.012712,0.02761,-0.017278,1,1,0.020979,0.023207,-0.046275,0.012482
Jul-85,0.04848,-0.014958,0.008399,-0.010178,0.000007,1,1,0.004566,0.009221,-0.00624,-0.006449
Aug-85,0.027709,0.021934,0.020119,0.016312,0.011122,1,1,-0.009091,-0.054684,0.014064,0.037397
Sep-85,0.048713,0.002172,0.009599,-0.004868,-0.034424,1,1,-0.027523,-0.031145,0.060092,0.000941
Oct-85,0.058439,0.033903,0.002563,0.026578,-0.007977,1,1,0.037736,0.031415,0.075345,0.03784
Nov-85,0.044028,0.044784,0.024928,0.018646,0.001869,1,1,0.054545,-0.016072,0.013692,0.039552
Dec-85,0.043064,0.055787,0.037576,0.002057,-0.000919,1,1,0.053879,0.006132,-0.020173,0.049738
Jan-86,0.023523,0.001901,0.013204,0.00114,-0.021601,1,1,0.018405,0.038663,-0.11485,0.011088
Feb-86,0.103886,0.10214,0.038498,-0.03839,-0.010092,1,1,0.062249,0.037841,-0.026356,0.070921
Mar-86,0.135545,0.090884,0.038398,-0.059908,-0.00351,1,1,0.045369,0.024605,0.01838,0.035323
Apr-86,0.061881,-0.006375,0.015905,-0.001805,-0.014358,1,1,0.001808,0.005987,0.040201,0.0078
May-86,-0.041809,-0.060598,0.011,0.064318,0.008304,1,1,0.045126,-0.005707,-0.030005,-0.015738
Jun-86,0.062988,0.065386,0.011101,-0.02296,-0.013943,1,1,0.025907,0.035197,0.034614,0.027015
Jul-86,0.056267,-0.003364,-0.010003,-0.023097,-0.008904,1,1,-0.06734,0.004531,0.028016,0.006459
Aug-86,0.09719,0.042794,0.015401,0.004634,0.004684,1,1,0.070397,0.041686,0.075423,0.029238
Sep-86,-0.008612,-0.03884,0.011997,0.038342,0.004889,1,1,-0.072513,-0.023978,-0.019335,-0.004046
Oct-86,-0.063019,0.019506,0.023202,-0.022404,0.014258,1,1,0.047273,0.036946,0.007634,0.023714
Nov-86,0.056102,0.019506,-0.002698,-0.014355,0.000906,1,1,0.008681,-0.005541,0.039677,0.020249
Dec-86,0.051167,-0.002445,-0.002903,0.003733,-0.025318,1,1,-0.024096,-0.010529,-0.019388,0.012583
